"VariableName","Value","ValueLabel"
"FIPS state code (HD2020)","13","Georgia"
"FIPS state code (HD2020)","15","Hawaii"
"FIPS state code (HD2020)","16","Idaho"
"FIPS state code (HD2020)","17","Illinois"
"FIPS state code (HD2020)","18","Indiana"
"FIPS state code (HD2020)","19","Iowa"
"FIPS state code (HD2020)","20","Kansas"
"FIPS state code (HD2020)","21","Kentucky"
"FIPS state code (HD2020)","22","Louisiana"
"FIPS state code (HD2020)","23","Maine"
"FIPS state code (HD2020)","24","Maryland"
"FIPS state code (HD2020)","25","Massachusetts"
"FIPS state code (HD2020)","26","Michigan"
"FIPS state code (HD2020)","27","Minnesota"
"FIPS state code (HD2020)","28","Mississippi"
"FIPS state code (HD2020)","29","Missouri"
"FIPS state code (HD2020)","30","Montana"
"FIPS state code (HD2020)","31","Nebraska"
"FIPS state code (HD2020)","32","Nevada"
"FIPS state code (HD2020)","33","New Hampshire"
"FIPS state code (HD2020)","34","New Jersey"
"FIPS state code (HD2020)","35","New Mexico"
"FIPS state code (HD2020)","36","New York"
"FIPS state code (HD2020)","37","North Carolina"
"FIPS state code (HD2020)","38","North Dakota"
"FIPS state code (HD2020)","39","Ohio"
"FIPS state code (HD2020)","40","Oklahoma"
"FIPS state code (HD2020)","41","Oregon"
"FIPS state code (HD2020)","42","Pennsylvania"
"FIPS state code (HD2020)","44","Rhode Island"
"FIPS state code (HD2020)","45","South Carolina"
"FIPS state code (HD2020)","46","South Dakota"
"FIPS state code (HD2020)","47","Tennessee"
"FIPS state code (HD2020)","48","Texas"
"FIPS state code (HD2020)","49","Utah"
"FIPS state code (HD2020)","50","Vermont"
"FIPS state code (HD2020)","51","Virginia"
"FIPS state code (HD2020)","53","Washington"
"FIPS state code (HD2020)","54","West Virginia"
"FIPS state code (HD2020)","55","Wisconsin"
"FIPS state code (HD2020)","56","Wyoming"
"Bureau of Economic Analysis (BEA) regions (HD2020)","0","U.S. Service schools"
"Bureau of Economic Analysis (BEA) regions (HD2020)","1","New England (CT, ME, MA, NH, RI, VT)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","2","Mid East (DE, DC, MD, NJ, NY, PA)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","3","Great Lakes (IL, IN, MI, OH, WI)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","4","Plains (IA, KS, MN, MO, NE, ND, SD)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","5","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","6","Southwest (AZ, NM, OK, TX)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","7","Rocky Mountains (CO, ID, MT, UT, WY)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","8","Far West (AK, CA, HI, NV, OR, WA)"
"Sector of institution (HD2020)","0","Administrative Unit"
"Sector of institution (HD2020)","1","Public, 4-year or above"
"Sector of institution (HD2020)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2020)","3","Private for-profit, 4-year or above"
"Sector of institution (HD2020)","4","Public, 2-year"
"Sector of institution (HD2020)","5","Private not-for-profit, 2-year"
"Sector of institution (HD2020)","6","Private for-profit, 2-year"
"Sector of institution (HD2020)","7","Public, less-than 2-year"
"Sector of institution (HD2020)","8","Private not-for-profit, less-than 2-year"
"Sector of institution (HD2020)","9","Private for-profit, less-than 2-year"
"Sector of institution (HD2020)","99","Sector unknown (not active)"
"Level of institution (HD2020)","1","Four or more years"
"Level of institution (HD2020)","2","At least 2 but less than 4 years"
"Level of institution (HD2020)","3","Less than 2 years (below associate)"
"Level of institution (HD2020)","-3","{Not available}"
"Control of institution (HD2020)","1","Public"
"Control of institution (HD2020)","2","Private not-for-profit"
"Control of institution (HD2020)","3","Private for-profit"
"Control of institution (HD2020)","-3","{Not available}"
"Degree-granting status (HD2020)","1","Degree-granting"
"Degree-granting status (HD2020)","2","Nondegree-granting, primarily postsecondary"
"Degree-granting status (HD2020)","-3","{Not available}"
"Institutional category (HD2020)","1","Degree-granting, graduate with no undergraduate degrees"
"Institutional category (HD2020)","2","Degree-granting, primarily baccalaureate or above"
"Institutional category (HD2020)","3","Degree-granting, not primarily baccalaureate or above"
"Institutional category (HD2020)","4","Degree-granting, associate's and certificates 
"
"Institutional category (HD2020)","5","Nondegree-granting, above the baccalaureate"
"Institutional category (HD2020)","6","Nondegree-granting, sub-baccalaureate"
"Institutional category (HD2020)","-1","Not reported"
"Institutional category (HD2020)","-2","Not applicable"
